location,date,time,Band Size,Band Number,Taxon.group,Alpha,behavior,age,how aged,sex,how sexed,skull,cp,bp,fat,ffwear,wing chord,mass,Tarsal L,Tarsal D,Tarsal W,Tarsal A,Recap?,legbrown,leggreen,legblue,legother,rectbrown,rectgreen,rectblue,rectother,pullbrown,pullgreen,pullblue,pullother,totbrown,totgreen,totblue,totother
PUNK,6.20.14,1330,2,135256606,Turdidae,AMRO,ground,SY,L,F,B,,0,2,1,,125,76.8,37.8,3.3,1.6,199.584,n,1,9,0,0,41,0,0,9,28,5,0,5,70,14,0,14
PUNK,7.17.14,610,2,135256608,Turdidae,AMRO,ground,SY,L,M,C,,2,0,1,3,128,71.2,38.3,3.3,2,252.78,n,2,1,0,0,3,0,0,1,5,1,0,3,10,2,0,4
PUNK,7.18.14,710,2,135256609,Turdidae,AMRO,ground,SY,L,F,BP,,0,1,1,2,126,79.1,37.5,3.6,2,270,n,0,11,0,0,1,24,0,5,37,56,0,6,38,91,0,11
PUNK,7.19.14,920,2,135256610,Turdidae,AMRO,ground,AHY,B,F,B,,0,2,1,4,127,82.2,38.1,3.2,2,243.84,n,0,0,0,0,2,1,0,2,4,14,0,3,6,15,0,5
PUNK,7.19.14,1240,2,135256611,Turdidae,AMRO,ground,AHY,B,F,B,,0,3,1,3,122,72.4,36.3,2.9,2,210.54,n,0,1,0,1,2,0,0,1,3,5,0,0,5,6,0,2
PUNK,8.1.14,810,2,135256613,Turdidae,AMRO,ground,HY,JS,U,,3,0,0,1,1,124,71.9,36,3.2,2.3,264.96,n,23,0,0,0,4,0,0,1,13,0,0,2,40,0,0,3
PUNK,6.9.14,730,1A,264176604,Cardinalidae,BHGR,foliage,SY,L,M,P,,0,0,1,2,100,,27.7,2.7,1.7,127.143,n,0,0,0,5,0,1,0,2,6,1,0,1,6,2,0,8
SKUL,7.24.13,,0A,268036601,Certhiidae,BRCR,bark,AHY,B,F,B,,,,,,63,,,,,0,n,,,,,,,,,,,,,0,0,0,0
SKUL,7.24.13,,0A,268036602,Certhiidae,BRCR,bark,AHY,S,U,,,,,,,63,,,,,0,n,,,,,,,,,,,,,0,0,0,0
SKUL,8.8.13,1500,0A,268036602,Certhiidae,BRCR,bark,AHY,S,U,,6,,,,,,,,,,0,y,,,,,,,,,,,,,0,0,0,0
