Alpha,Total growth #
AMRO,4
AMRO,1
AMRO,0
AMRO,3
AMRO,2
AMRO,2
BHGR,3
BRCR,0
BRCR,0
BRCR,0
BRCR,0
BRCR,0
BRCR,0
BRCR,0
BRCR,1
BTYW,0
BTYW,1
BTYW,0
BTYW,0
CBCH,0
CBCH,1
CBCH,2
CBCH,0
CBCH,0
CBCH,0
CBCH,1
CEDW,3
CEDW,0
CEDW,0
CEDW,2
CEDW,0
CEDW,1
CEDW,2
CEDW,1
CEDW,0
CHSP,3
CHSP,6
CHSP,3
CHSP,0
CHSP,5
CHSP,4
CHSP,2
CHSP,1
DUFL,0
DUFL,1
DUFL,0
FLIN,1
GCKI,0
GRAJ,0
GRAJ,0
GRAJ,0
GRAJ,0
GRAJ,1
HAFL,0
HAFL,1
HAFL,0
HAFL,0
HAFL,0
HAFL,1
HAFL,4
HAFL,0
HAWO,1
HAWO,0
HEWA,4
HEWA,2
LAZB,0
LAZB,1
LAZB,2
LAZB,1
LAZB,1
LAZB,1
LAZB,0
LAZB,1
LAZB,1
LAZB,3
LAZB,1
LAZB,0
MGWA,0
MGWA,1
MGWA,2
MGWA,1
MGWA,0
MGWA,0
MGWA,1
MGWA,1
MGWA,1
MGWA,3
MGWA,4
MGWA,0
MGWA,1
MGWA,0
MGWA,1
MGWA,1
MGWA,0
MGWA,0
MGWA,1
ORJU,0
ORJU,0
ORJU,0
ORJU,0
ORJU,0
ORJU,0
ORJU,0
ORJU,2
ORJU,0
ORJU,5
ORJU,3
ORJU,5
ORJU,1
PAWR,4
PAWR,1
PAWR,1
PSFL,0
PSFL,1
PSFL,0
PSFL,2
PUFI,0
RECR,0
RECR,0
RSFL,2
RUGR,1
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,1
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,1
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
RUHU,0
SOSP,3
SOSP,3
SOSP,1
SOSP,0
SPTO,0
SPTO,4
SPTO,1
SPTO,1
SPTO,2
STJA,2
STJA,2
SWTH,0
SWTH,0
SWTH,0
SWTH,0
SWTH,1
SWTH,7
SWTH,2
SWTH,6
SWTH,1
SWTH,1
SWTH,2
SWTH,1
SWTH,2
SWTH,2
SWTH,4
SWTH,1
SWTH,1
SWTH,4
SWTH,0
SWTH,2
SWTH,1
SWTH,1
SWTH,2
SWTH,6
SWTH,3
SWTH,2
SWTH,0
SWTH,1
SWTH,3
SWTH,2
SWTH,1
SWTH,1
SWTH,2
SWTH,1
SWTH,4
SWTH,1
SWTH,2
SWTH,0
SWTH,0
SWTH,1
SWTH,4
SWTH,1
SWTH,1
SWTH,0
SWTH,2
SWTH,3
SWTH,5
VASW,0
VATH,0
WAVI,0
WAVI,0
WAVI,0
WCSP,0
WCSP,1
WETA,1
WETA,0
WETA,0
WETA,1
WETA,0
WETA,0
WETA,0
WETA,0
WETA,1
WIWA,0
WIWA,1
WIWA,1
WIWA,0
